Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total Persons,Total Males,Total Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C2708ST,01,000,State - JAMMU & KASHMIR,Total,All ages,1493299,776257,717042,891596,402032,489564,601703,374225,227478,20251,12951,7300,137385,75891,61494,155324,92911,62413,146969,99235,47734,77487,51369,26118,38694,24162,14532,455,391,64,1186,886,300,19320,13468,5852,4632,2961,1671
C2708ST,01,000,State - JAMMU & KASHMIR,Total,0-6,303118,158571,144547,303118,158571,144547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2708ST,01,000,State - JAMMU & KASHMIR,Total,7,40623,20837,19786,18411,8793,9618,22212,12044,10168,463,292,171,21488,11591,9897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,161,100
C2708ST,01,000,State - JAMMU & KASHMIR,Total,8,42964,22222,20742,14285,6592,7693,28679,15630,13049,352,214,138,28097,15283,12814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,133,97
C2708ST,01,000,State - JAMMU & KASHMIR,Total,9,35909,18430,17479,9317,4081,5236,26592,14349,12243,295,194,101,23509,12580,10929,2653,1494,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,81,54
C2708ST,01,000,State - JAMMU & KASHMIR,Total,10,46106,23920,22186,12836,5681,7155,33270,18239,15031,418,266,152,23335,12694,10641,9348,5188,4160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,91,78
C2708ST,01,000,State - JAMMU & KASHMIR,Total,11,40215,21058,19157,8639,3645,4994,31576,17413,14163,340,208,132,12865,6996,5869,18187,10072,8115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,137,47
C2708ST,01,000,State - JAMMU & KASHMIR,Total,12,42334,22205,20129,9328,3684,5644,33006,18521,14485,343,206,137,6503,3544,2959,23337,13066,10271,2668,1614,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,91,64
C2708ST,01,000,State - JAMMU & KASHMIR,Total,13,35574,18693,16881,7153,2713,4440,28421,15980,12441,265,176,89,2932,1534,1398,19131,10737,8394,5966,3460,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,73,54
C2708ST,01,000,State - JAMMU & KASHMIR,Total,14,34414,18316,16098,7028,2569,4459,27386,15747,11639,283,161,122,1634,828,806,13210,7403,5807,12129,7281,4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,74,56
